tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,29.243005500000095,45.94656930000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,4,2,7,1,1,0,0,0,0,0,0,,,,,45.94656930000008,None,75.34624470000006,None,j,1,2.0006266000000323,76.22872730000006,None,76.22872730000006,None,78.26341190000005,None,None,78.76907393000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,4,2,6,1,3,1,0,0,1,1,1,,,,,,,78.76873830000011,None,j,1,1.11671130000002,79.7688237000001,None,79.7688237000001,None,80.89796680000006,None,None,81.40359633,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,2,1,5,1,3,1,0,0,2,2,2,,,,,,,81.40361750000011,None,j,1,1.778605500000026,82.40337440000008,None,82.40337440000008,None,84.2027680000001,None,None,84.70844463,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,7,1,4,1,3,1,1,0,3,3,3,,,,,,,84.70850160000009,None,j,1,0.8741316000000552,85.70781450000004,None,85.70781450000004,None,86.60165440000003,None,None,87.10733243000001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,2,1,3,1,3,1,0,0,4,4,4,,,,,,,87.10778600000003,None,f,1,0.9542767000000367,88.1070866,None,88.1070866,None,89.0837328,None,None,89.58932793000005,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,1,2,2,1,3,1,1,0,5,5,5,,,,,,,89.5893764000001,None,j,1,1.4162326000000576,90.58913040000004,None,90.58913040000004,None,92.02354190000005,None,None,92.52921203000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,2,2,1,1,3,1,0,0,6,6,6,,,,,,,92.52967130000002,None,f,1,0.9079567999999654,93.52941460000011,None,93.52941460000011,None,94.45848550000005,None,None,94.96376623,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,6,1,0,1,3,0,1,0,7,7,7,,,,,,,94.96387320000008,None,j,1,1.065346800000043,95.96401520000006,None,95.96401520000006,None,97.0455515000001,None,None,97.5516242300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,1,7,2,3,1,1,0,8,8,8,,,,,,,97.55180100000007,None,f,1,1.4228521999999657,98.55097220000005,None,98.55097220000005,None,99.98630330000003,None,None,100.49191303000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,2,1,6,1,3,1,0,0,9,9,9,,,,,,,100.4919509,None,f,1,0.8656477000000677,101.4917306000001,None,101.4917306000001,None,102.37334570000007,None,None,102.87942043000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,6,1,5,1,3,0,0,0,10,10,10,,,,,,,102.87948620000009,None,f,1,1.2824342000000115,103.89092930000004,None,103.89092930000004,None,105.18466180000007,None,None,105.69033583000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,4,1,3,1,0,0,11,11,11,,,,,,,105.69045540000002,None,f,1,1.475748899999985,106.69038650000005,None,106.69038650000005,None,108.1837392000001,None,None,108.68902913000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,7,2,3,1,3,1,0,0,12,12,12,,,,,,,108.68946580000011,None,j,1,0.7481546999999864,109.6892292,None,109.6892292,None,110.45324790000006,None,None,110.95932143000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,1,2,1,3,0,1,0,13,13,13,,,,,,,110.9593807,None,f,1,1.27833540000006,111.95906260000004,None,111.95906260000004,None,113.25263770000004,None,None,113.75847443000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,2,1,1,1,3,1,0,0,14,14,14,,,,,,,113.75852780000002,None,j,1,0.8311557000000676,114.7582139000001,None,114.7582139000001,None,115.60509230000002,None,None,116.1106999300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,2,0,1,3,0,0,0,15,15,15,,,,,,,116.11079800000005,None,f,1,0.8310557999999446,117.11043990000007,None,117.11043990000007,None,117.95755720000011,None,None,118.46293043,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,6,2,7,1,3,1,0,0,16,16,16,,,,,,,118.46297940000011,None,f,1,0.5597214000000577,119.46229010000002,None,119.46229010000002,None,120.03896910000003,None,None,120.54465173000003,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,0,2,6,2,3,0,1,0,17,17,17,,,,,,,120.54471890000002,None,f,1,0.9415116000000125,121.54400300000009,None,121.54400300000009,None,122.49704350000002,None,None,123.0027361300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,5,1,3,0,0,0,18,18,18,,,,,,,123.0027884000001,None,f,1,0.7715440000000626,124.00248050000005,None,124.00248050000005,None,124.79047020000007,None,None,125.29599463000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,0,2,4,1,3,0,1,0,19,19,19,,,,,,,125.29626030000009,None,f,1,0.7825578999999152,126.2955760000001,None,126.2955760000001,None,127.09565220000002,None,None,127.60133333000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,1,5,1,2,1,1,0,20,20,20,,,,,,,127.60137850000001,None,f,1,0.7334223000000293,128.60069910000004,None,128.60069910000004,None,129.35340280000003,None,None,129.85947313000005,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,1,4,1,3,1,1,0,21,21,21,,,,,,,129.85952470000007,None,f,1,0.8585611000000881,130.8588254,None,130.8588254,None,131.72983850000003,None,None,132.2352221300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,2,3,2,3,0,0,0,22,22,22,,,,,,,132.2348832,None,j,0,1.139003300000013,133.23504130000003,None,133.23504130000003,None,134.3875551000001,None,None,134.8932407300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,2,1,3,1,1,0,23,23,23,,,,,,,134.89329540000006,None,f,1,0.9615118000000393,135.89260420000005,None,135.89260420000005,None,136.8692225000001,None,None,137.37484033000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,2,1,1,3,0,1,0,24,24,24,,,,,,,137.3748998000001,None,f,1,0.6391826000000265,138.3741980000001,None,138.3741980000001,None,139.03320810000002,None,None,139.53849183000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,7,2,0,1,3,0,1,0,25,25,25,,,,,,,139.538948,None,j,1,0.9867674999999281,140.53863380000007,None,140.53863380000007,None,141.5383309,None,None,142.04405683000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,3,1,7,1,3,0,0,0,26,26,26,,,,,,,142.04406330000006,None,j,1,1.234073100000046,143.0433819000001,None,143.0433819000001,None,144.2901267000001,None,None,144.7961464300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,7,2,6,1,3,1,0,0,27,27,27,,,,,,,144.79577660000007,None,j,1,0.7059163999999782,145.7954731000001,None,145.7954731000001,None,146.51329180000005,None,None,147.01897203000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,1,2,5,1,3,0,1,0,28,28,28,,,,,,,147.01903360000006,None,j,1,0.77164520000008,148.01839830000006,None,148.01839830000006,None,148.8067155000001,None,None,149.31239833000004,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,2,4,1,3,0,0,0,29,29,29,,,,,,,149.31245060000003,None,f,1,0.9098870000000261,150.31215730000008,None,150.31215730000008,None,151.24126980000005,None,None,151.74701423000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,6,1,3,1,3,0,1,0,30,30,30,,,,,,,151.74699740000005,None,f,1,0.9553351000000703,152.74670070000002,None,152.74670070000002,None,153.72287270000004,None,None,154.2285518300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,0,2,2,1,3,1,0,0,31,31,31,,,,,,,154.22861220000004,None,j,1,0.9051120999999966,155.22829550000006,None,155.22829550000006,None,156.1457292,None,None,156.6509519300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,6,2,1,1,3,1,0,0,32,32,32,,,,,,,156.65139580000005,None,f,1,0.7870285000000194,157.65116120000005,None,157.65116120000005,None,158.45085160000008,None,None,158.95653503000003,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,5,2,7,1,1,0,1,0,33,33,33,,,,,,,158.95664610000006,None,f,1,1.4737456000000293,159.9563333000001,None,159.9563333000001,None,161.4500137,None,None,161.95564133000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,4,2,6,1,3,0,1,0,34,34,34,,,,,,,161.9556930000001,None,f,1,1.0985220999999683,162.9554366000001,None,162.9554366000001,None,164.07288570000003,None,None,164.5783613300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,2,1,5,1,3,0,1,0,35,35,35,,,,,,,164.57842430000005,None,f,1,0.9559361999999965,165.57810800000004,None,165.57810800000004,None,166.5543993,None,None,167.05994493,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,2,1,4,1,3,1,1,0,36,36,36,,,,,,,167.05962040000009,None,j,1,0.9227905999999848,168.0593149,None,168.0593149,None,169.0002661000001,None,None,169.50628003000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,4,1,3,1,3,1,1,0,37,37,37,,,,,,,169.5063258,None,f,1,0.9071422000000666,170.5063057000001,None,170.5063057000001,None,171.42316040000003,None,None,171.92907163000004,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,2,2,1,3,0,1,0,38,38,38,,,,,,,171.92918150000003,None,f,1,0.8695807999999943,172.92846610000004,None,172.92846610000004,None,173.81089250000002,None,None,174.31658693000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,0,2,1,1,3,0,0,0,39,39,39,,,,,,,174.3166205,None,j,1,0.6736687000000074,175.31639110000003,None,175.31639110000003,None,176.0102981,None,None,176.5159162300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,1,0,1,3,1,0,0,40,40,40,,,,,,,176.51596400000005,None,f,1,1.0817179000000579,177.51572770000007,None,177.51572770000007,None,178.6096202000001,None,None,179.11472993000004,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,4,1,7,1,3,1,0,0,41,41,41,,,,,,,179.11517650000008,None,f,1,1.1230206999999837,180.11448470000005,None,180.11448470000005,None,181.2557012000001,None,None,181.76123663000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,5,1,1,0,0,0,42,42,42,,,,,,,181.7615472000001,None,f,1,1.4693922000000157,182.76074060000008,None,182.76074060000008,None,184.24303680000003,None,None,184.74831233000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,2,6,1,2,0,1,0,43,43,43,,,,,,,184.74877170000002,None,f,1,0.8013959000001023,185.748064,None,185.748064,None,186.55983160000005,None,None,187.0654982300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,1,5,1,3,1,0,0,44,44,44,,,,,,,187.0657185,None,f,1,0.9004482999999937,188.06501950000006,None,188.06501950000006,None,188.98277240000004,None,None,189.48830353000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,1,4,1,3,1,1,0,45,45,45,,,,,,,189.48835600000007,None,f,1,0.6535835000000816,190.48786790000008,None,190.48786790000008,None,191.15819410000006,None,None,191.66426953000004,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,5,2,0,2,1,1,1,0,46,46,46,,,,,,,191.66430430000003,None,f,0,1.5178128000000015,192.66363220000005,None,192.66363220000005,None,194.19187720000002,None,None,194.69863093,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,2,1,7,1,3,0,0,0,47,47,47,,,,,,,194.69829920000006,None,f,1,1.0440886999999748,195.69799160000002,None,195.69799160000002,None,196.75689050000005,None,None,197.26256283000006,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,6,1,3,0,0,0,48,48,48,,,,,,,197.2626223000001,None,f,1,1.0557922000000417,198.2623125,None,198.2623125,None,199.33267480000006,None,None,199.83825933,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,6,1,5,1,3,0,0,0,49,49,49,,,,,,,199.83832570000004,None,j,1,0.9434397999999646,200.83801110000002,None,200.83801110000002,None,201.80242020000003,None,None,202.30770463000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,6,2,4,2,3,0,0,0,50,50,50,,,,,,,202.30815340000004,None,f,1,0.6815364000000272,203.30791710000005,None,203.30791710000005,None,204.0018331,None,None,204.5074251300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,0,1,3,1,3,0,1,0,51,51,51,,,,,,,204.50709570000004,None,j,1,0.7388597000000345,205.50724250000007,None,205.50724250000007,None,206.26005010000006,None,None,206.76557253000007,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,3,1,2,1,3,0,1,0,52,52,52,,,,,,,206.76592030000006,None,f,1,1.2529237999999623,207.77715030000002,None,207.77715030000002,None,209.0472728000001,None,None,209.55294693000005,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,4,2,1,1,3,0,1,0,53,53,53,,,,,,,209.55302110000002,None,f,1,0.7978147000000035,210.55231260000005,None,210.55231260000005,None,211.36421270000005,None,None,211.86989173000003,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,2,0,1,3,0,1,0,54,54,54,,,,,,,211.86996900000008,None,f,1,1.1364719999999124,212.86965010000006,None,212.86965010000006,None,214.02224480000007,None,None,214.52791863000002,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,2,2,7,1,3,0,1,0,55,55,55,,,,,,,214.52803440000002,None,j,1,1.0224048000000039,215.52768150000009,None,215.52768150000009,None,216.56264370000008,None,None,217.06832953,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,5,1,6,1,3,0,1,0,56,56,56,,,,,,,217.06838060000007,None,j,1,1.0260256000000254,218.06808680000006,None,218.06808680000006,None,219.1144776000001,None,None,219.62010313000005,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,0,1,7,1,2,0,1,0,57,57,57,,,,,,,219.62061560000006,None,f,1,1.577221399999985,220.62025700000004,None,220.62025700000004,None,222.20798560000003,None,None,222.71366333,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,1,1,6,1,3,0,1,0,58,58,58,,,,,,,222.7137391,None,f,1,0.9966177000000016,223.71349570000007,None,223.71349570000007,None,224.72489740000003,None,None,225.2301649300001,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,0,1,5,1,3,0,1,0,59,59,59,,,,,,,225.23060870000006,None,f,1,0.7358002000000852,226.23031070000002,None,226.23031070000002,None,226.98308870000005,None,space,227.5005371000001,None,20.969446399999924,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
1,6,2,3,1,3,1,1,0,60,60,60,,,,,,,248.48241730000007,None,j,1,0.6202940000000581,249.48173430000008,None,249.48173430000008,None,250.1171525000001,None,None,250.62287783000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
2,7,2,4,1,2,1,0,0,61,61,61,,,,,,,250.6224923000001,None,f,1,0.5758581999999706,251.6222560000001,None,251.6222560000001,None,252.21068660000003,None,None,252.71631713000008,None,,,,,,,,,,,,,,B_01_AA,1,27,M,2021_Jun_15_1638,dyndist,2020.2.10,85.0142058737579,
