tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,92.14660260000002,54.6828386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,1,5,1,1,0,1,0,0,0,0,,,,,54.6828386,None,146.9811485,None,j,1,1.654452200000037,147.863621,None,147.863621,None,149.54530789999998,None,None,150.03938381999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,1,1,6,1,3,0,0,0,1,1,1,,,,,,,150.03904079999998,None,j,0,1.6632298999999762,151.03874390000001,None,151.03874390000001,None,152.73274439999997,None,None,153.22666352000002,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,1,1,7,1,3,0,0,0,2,2,2,,,,,,,153.2268015,None,j,1,0.8589033000000086,154.2265249,None,154.2265249,None,155.09678870000002,None,None,155.60225711999996,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,3,1,0,1,3,0,0,0,3,3,3,,,,,,,155.6024495,None,j,1,0.8203203000000485,156.60176909999998,None,156.60176909999998,None,157.43730380000002,None,None,157.94248082,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,7,2,1,2,3,1,0,0,4,4,4,,,,,,,157.9425373,None,f,1,0.7550470000000473,158.95438470000002,None,158.95438470000002,None,159.73067239999997,None,None,160.23629382,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,2,2,1,3,0,0,0,5,5,5,,,,,,,160.23640129999998,None,f,1,0.6493522999999755,161.2361422,None,161.2361422,None,161.90656140000002,None,None,162.41172432,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,0,2,4,1,1,1,1,0,6,6,6,,,,,,,162.4122411,None,j,1,0.8582432999999696,163.4115159,None,163.4115159,None,164.2822836,None,None,164.78789282,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,2,2,5,1,3,1,0,0,7,7,7,,,,,,,164.78783719999998,None,j,1,3.938418800000022,165.78721290000001,None,165.78721290000001,None,169.7393843,None,None,170.24500482,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,1,6,2,3,1,1,0,8,8,8,,,,,,,170.24505309999998,None,f,0,1.0886942000000204,171.2448077,None,171.2448077,None,172.36203709999998,None,None,172.85595682,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,4,2,7,1,3,1,1,0,9,9,9,,,,,,,172.8560242,None,j,0,0.6869486000000506,173.8553939,None,173.8553939,None,174.56138280000002,None,None,175.06706432000001,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,6,1,0,2,3,0,1,0,10,10,10,,,,,,,175.06711140000002,None,j,1,1.5633449000000041,176.06680500000002,None,176.06680500000002,None,177.6424752,None,None,178.14847622,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,7,2,1,2,3,1,0,0,11,11,11,,,,,,,178.14856060000002,None,j,1,0.8500834999999825,179.14790580000002,None,179.14790580000002,None,180.0185448,None,None,180.52393701999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,2,2,1,3,1,0,0,12,12,12,,,,,,,180.52396510000003,None,j,1,1.3058489000000009,181.5236786,None,181.5236786,None,182.8409023,None,None,183.34690742,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,2,1,3,1,3,0,1,0,13,13,13,,,,,,,183.34663400000002,None,f,0,1.4918329999999855,184.34630660000002,None,184.34630660000002,None,185.8520779,None,None,186.35798142000002,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,2,2,1,2,1,0,0,14,14,14,,,,,,,186.35780739999998,None,f,1,0.7845796999999948,187.3575746,None,187.3575746,None,188.1572727,None,None,188.66295191999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,2,3,1,3,1,1,0,15,15,15,,,,,,,188.66267079999997,None,f,1,0.5914954000000421,189.66268269999998,None,189.66268269999998,None,190.27426419999998,None,None,190.77995872,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,7,1,2,1,2,1,1,0,16,16,16,,,,,,,190.78000849999998,None,f,1,0.9226325999999858,191.7795543,None,191.7795543,None,192.7206434,None,None,193.22627972,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,2,4,1,1,1,0,0,17,17,17,,,,,,,193.226366,None,f,1,1.5162641000000008,194.2260922,None,194.2260922,None,195.7549551,None,None,196.26065012,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,3,1,0,2,1,0,1,0,18,18,18,,,,,,,196.2608139,None,f,1,1.1857162000000017,197.260431,None,197.260431,None,198.46001090000001,None,None,198.96569881999997,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,1,7,1,2,0,1,0,19,19,19,,,,,,,198.96585990000003,None,f,1,0.9126252000000363,199.9654429,None,199.9654429,None,200.8945752,None,None,201.40025682,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,2,0,1,3,1,1,0,20,20,20,,,,,,,201.4003117,None,f,0,1.2784522000000038,202.3996225,None,202.3996225,None,203.6937933,None,None,204.19941712,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,3,1,1,1,3,1,1,0,21,21,21,,,,,,,204.1991235,None,j,1,1.1187232999999992,205.19877390000002,None,205.19877390000002,None,206.3399954,None,None,206.83391271999997,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,7,2,1,1,1,0,1,0,22,22,22,,,,,,,206.83395190000002,None,f,1,1.940237400000001,207.83326530000002,None,207.83326530000002,None,209.7860785,None,None,210.29173381999996,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,5,1,2,1,3,1,0,0,23,23,23,,,,,,,210.29179589999998,None,j,1,0.8989589999999907,211.29127960000002,None,211.29127960000002,None,212.20880229999997,None,None,212.71452562,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,0,2,1,1,2,0,1,0,24,24,24,,,,,,,212.71451649999997,None,j,1,1.1481168000000253,213.71421790000002,None,213.71421790000002,None,214.87823799999998,None,None,215.38394171999997,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,2,2,1,3,1,0,0,25,25,25,,,,,,,215.3843012,None,j,1,0.9585083000000054,216.38369409999999,None,216.38369409999999,None,217.3602519,None,None,217.86586772,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,5,1,0,1,1,1,0,0,26,26,26,,,,,,,217.8659794,None,j,1,0.7485495999999898,218.86560089999998,None,218.86560089999998,None,219.6301374,None,None,220.13544002,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,4,2,1,1,3,0,1,0,27,27,27,,,,,,,220.1357996,None,f,1,0.8786066000000119,221.1355622,None,221.1355622,None,222.02942,None,None,222.53471102,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,3,1,0,1,2,0,1,0,28,28,28,,,,,,,222.5350872,None,f,1,0.7672854999999572,223.5348503,None,223.5348503,None,224.322842,None,None,224.82846562,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,5,1,1,1,3,1,0,0,29,29,29,,,,,,,224.828183,None,j,1,0.9053228999999874,225.82825870000002,None,225.82825870000002,None,226.7456293,None,None,227.25125771999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,3,1,2,1,3,1,0,0,30,30,30,,,,,,,227.25130670000001,None,j,1,0.9635238000000186,228.25067190000001,None,228.25067190000001,None,229.2268438,None,None,229.73284821999997,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,6,1,3,1,3,1,0,0,31,31,31,,,,,,,229.7329051,None,j,1,1.394054600000004,230.73224430000002,None,230.73224430000002,None,232.1440044,None,None,232.64962432000002,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,3,2,4,1,3,0,0,0,32,32,32,,,,,,,232.64964970000003,None,j,1,1.148765600000047,233.6494334,None,233.6494334,None,234.81338530000002,None,None,235.31937381999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,1,5,1,3,1,1,0,33,33,33,,,,,,,235.3194435,None,f,1,0.7989800000000287,236.3191401,None,236.3191401,None,237.13032209999997,None,None,237.63633131999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,2,2,6,1,3,0,1,0,34,34,34,,,,,,,237.6363838,None,j,1,2.7057645999999522,238.6357705,None,238.6357705,None,241.35308030000002,None,None,241.85858061999997,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,0,1,7,1,3,1,1,0,35,35,35,,,,,,,241.85863450000002,None,j,1,1.3315756000000079,242.8580097,None,242.8580097,None,244.2108577,None,None,244.71655452000002,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,6,1,2,2,1,1,0,0,36,36,36,,,,,,,244.7166483,None,f,1,0.841913800000043,245.716288,None,245.716288,None,246.57484100000002,None,None,247.08024291999996,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,5,2,3,1,3,0,1,0,37,37,37,,,,,,,247.0805796,None,f,1,0.6220420000000217,248.08034,None,248.08034,None,248.7150693,None,None,249.22107162,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,5,2,4,1,3,1,1,0,38,38,38,,,,,,,249.2212377,None,f,1,0.5613134000000173,250.22079929999998,None,250.22079929999998,None,250.7969864,None,None,251.30246612,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,0,2,5,1,3,1,1,0,39,39,39,,,,,,,251.30283699999998,None,j,1,1.422978999999998,252.3025979,None,252.3025979,None,253.73739179999998,None,None,254.24306421999998,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,5,2,6,1,3,1,0,0,40,40,40,,,,,,,254.2431233,None,j,0,0.7070752999999854,255.24250179999999,None,255.24250179999999,None,255.95985449999998,None,None,256.46597732000004,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,0,1,7,1,3,1,1,0,41,41,41,,,,,,,256.466041,None,f,1,1.1249872999999866,257.465284,None,257.465284,None,258.6179423,None,None,259.11185622,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,1,1,0,1,3,1,1,0,42,42,42,,,,,,,259.11191039999994,None,j,1,1.2621668999999542,260.11192830000005,None,260.11192830000005,None,261.3939061,None,None,261.89956521999994,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,5,1,1,1,3,1,1,0,43,43,43,,,,,,,261.8992954,None,f,1,0.7147775999999908,262.89938830000006,None,262.89938830000006,None,263.62818560000005,None,None,264.13387462,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,7,1,2,1,3,1,0,0,44,44,44,,,,,,,264.13423290000003,None,j,1,0.7842347000000132,265.1339984,None,265.1339984,None,265.9337078,None,None,266.43905521999994,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,7,2,3,1,3,1,0,0,45,45,45,,,,,,,266.439622,None,f,1,0.7351728999999523,267.439113,None,267.439113,None,268.19183080000005,None,None,268.69750392,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,3,1,4,1,3,1,1,0,46,46,46,,,,,,,268.69755910000003,None,j,1,1.1810457999999926,269.6972588,None,269.6972588,None,270.89691789999995,None,None,271.40262191999994,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,7,2,5,1,3,1,1,0,47,47,47,,,,,,,271.4026347,None,f,1,0.6198559999999702,272.40235329999996,None,272.40235329999996,None,273.03748840000003,None,None,273.54278301999994,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,0,2,6,1,3,0,0,0,48,48,48,,,,,,,273.5431433,None,j,1,0.5912883999999963,274.54290949999995,None,274.54290949999995,None,275.1544997,None,None,275.66011662,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
2,3,1,7,1,3,1,1,0,49,49,49,,,,,,,275.659812,None,f,1,1.5943154999999933,276.65992500000004,None,276.65992500000004,None,278.27112850000003,None,None,278.77647792,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
1,4,2,0,1,3,0,1,0,50,50,50,,,,,,,278.77687089999995,None,f,0,0.9577062999999839,279.7765451,None,279.7765451,None,280.76419810000004,None,None,281.25808951999994,None,,,,,,,,,,,,,,,,,,,,B_03_LN,3,23,F,2021_Jun_14_0909,dyndist,2020.2.10,84.99216797173345,
