tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,18.67787899999999,53.97371849999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,3,1,6,1,1,1,0,0,0,0,0,,,,,53.97371849999999,None,72.82156760000001,None,f,1,1.663312899999994,73.69220569999999,None,73.69220569999999,None,75.3858677,None,None,75.87979637,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,2,2,7,1,3,1,1,0,1,1,1,,,,,,,75.87938679999999,None,f,1,0.8919746999999916,76.87953680000001,None,76.87953680000001,None,77.7851383,None,None,78.29043166999999,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,3,1,6,1,2,1,1,0,2,2,2,,,,,,,78.29086889999999,None,f,1,0.6246473000000208,79.290186,None,79.290186,None,79.92566740000001,None,None,80.43135907,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,6,1,3,1,1,1,1,0,3,3,3,,,,,,,80.43145329999999,None,f,0,0.8040678000000128,81.43079499999999,None,81.43079499999999,None,82.25398670000001,None,None,82.75966097000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,3,1,4,1,3,1,0,0,4,4,4,,,,,,,82.7599525,None,j,1,3.0201482999999882,83.75871169999999,None,83.75871169999999,None,86.79378449999999,None,None,87.29985637,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,6,2,5,1,3,1,1,0,5,5,5,,,,,,,87.30008330000001,None,j,1,1.5992728000000227,88.2995996,None,88.2995996,None,89.9108641,None,None,90.41654737,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,1,2,6,1,3,1,1,0,6,6,6,,,,,,,90.41659849999999,None,j,1,1.554544700000008,91.41629130000001,None,91.41629130000001,None,92.9922909,None,None,93.49797487,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,5,1,7,2,3,1,1,0,7,7,7,,,,,,,93.49794940000001,None,j,1,1.6417576999999994,94.497716,None,94.497716,None,96.1559681,None,None,96.66132487,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,4,2,0,1,3,0,1,0,8,8,8,,,,,,,96.66174910000001,None,j,1,1.677892700000001,97.6615717,None,97.6615717,None,99.3550655,None,None,99.86073257,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,5,2,3,1,1,1,1,0,9,9,9,,,,,,,99.860796,None,f,1,1.7423576000000196,100.86047160000001,None,100.86047160000001,None,102.62464739999999,None,None,103.13032867,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,5,2,1,1,1,1,0,0,10,10,10,,,,,,,103.1303852,None,j,1,0.8247666999999979,104.13007870000001,None,104.13007870000001,None,104.97687819999999,None,None,105.48256227,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,5,2,3,1,1,1,1,0,11,11,11,,,,,,,105.48222419999999,None,f,1,0.6331442000000038,106.48230090000001,None,106.48230090000001,None,107.12878140000001,None,None,107.63446627,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,0,1,4,1,3,1,0,0,12,12,12,,,,,,,107.63490619999999,None,j,1,1.168558399999995,108.63458170000001,None,108.63458170000001,None,109.82246470000001,None,None,110.32814037000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,1,2,5,1,3,1,1,0,13,13,13,,,,,,,110.32820269999999,None,f,1,1.7236329999999782,111.3279556,None,111.3279556,None,113.0685459,None,None,113.57421147000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,6,2,1,3,1,0,1,0,14,14,14,,,,,,,113.57411869999999,None,j,1,1.5816549999999836,114.57395890000001,None,114.57395890000001,None,116.173474,None,None,116.67877997000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,7,2,2,1,3,0,1,0,15,15,15,,,,,,,116.67881700000001,None,f,1,0.7639597000000151,117.6788985,None,117.6788985,None,118.45512930000001,None,None,118.96082876999999,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,1,2,3,2,3,0,1,0,16,16,16,,,,,,,118.96087990000001,None,j,1,0.8667760999999814,119.96061940000001,None,119.96061940000001,None,120.8422574,None,None,121.34832927000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,1,2,0,1,1,1,1,0,17,17,17,,,,,,,121.34838540000001,None,j,1,1.02283079999998,122.34806549999999,None,122.34806549999999,None,123.3827609,None,None,123.88874557000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,1,1,7,3,2,0,0,0,18,18,18,,,,,,,123.88877400000001,None,f,1,1.3954180000000065,124.88808800000001,None,124.88808800000001,None,126.29973720000001,None,None,126.80510597000001,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,4,1,0,1,3,1,0,0,19,19,19,,,,,,,126.80560249999999,None,f,1,1.3895016000000169,127.8053687,None,127.8053687,None,129.2165967,None,None,129.72186997,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,2,2,1,1,3,1,1,0,20,20,20,,,,,,,129.72229719999999,None,j,1,0.9528013999999985,130.7220632,None,130.7220632,None,131.6864338,None,None,132.19208307,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,6,1,2,1,3,0,0,0,21,21,21,,,,,,,132.1921481,None,j,1,1.9074310000000025,133.19145699999999,None,133.19145699999999,None,135.1206609,None,None,135.62635236999998,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,6,1,3,1,3,0,0,0,22,22,22,,,,,,,135.6264038,None,f,1,0.9692978999999582,136.62609740000002,None,136.62609740000002,None,137.61408100000003,None,None,138.11971907,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,5,2,4,1,3,0,0,0,23,23,23,,,,,,,138.1193737,None,j,1,1.8040235999999936,139.11944839999998,None,139.11944839999998,None,140.9424273,None,None,141.44811867,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,2,1,5,1,3,0,1,0,24,24,24,,,,,,,141.44776700000003,None,f,1,1.5955452000000037,142.44791239999998,None,142.44791239999998,None,144.05912429999998,None,None,144.56441636999998,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,4,1,6,2,3,0,0,0,25,25,25,,,,,,,144.56485590000003,None,f,1,0.798926999999992,145.56454829999998,None,145.56454829999998,None,146.37575710000002,None,None,146.88175936999997,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,4,2,5,1,2,1,0,0,26,26,26,,,,,,,146.88179169999998,None,f,1,0.9620557000000076,147.88149760000002,None,147.88149760000002,None,148.8572761,None,None,149.36319667,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,1,1,6,1,3,0,1,0,27,27,27,,,,,,,149.3633998,None,j,1,0.6885318999999868,150.363083,None,150.363083,None,151.06877719999997,None,None,151.57406046999998,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,0,2,7,1,3,1,1,0,28,28,28,,,,,,,151.57410789999997,None,f,1,0.7013602999999762,152.57418199999998,None,152.57418199999998,None,153.29169720000002,None,None,153.79730716999998,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,4,2,0,1,3,0,0,0,29,29,29,,,,,,,153.7973373,None,j,1,1.2304583000000093,154.7971034,None,154.7971034,None,156.04371189999998,None,None,156.54940566999997,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,3,2,1,1,3,0,1,0,30,30,30,,,,,,,156.5495207,None,f,1,2.3023655000000076,157.5491582,None,157.5491582,None,159.8660725,None,None,160.37180736999997,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,1,2,2,1,3,0,1,0,31,31,31,,,,,,,160.37143010000003,None,f,1,1.888103199999989,161.3715152,None,161.3715152,None,163.276809,None,None,163.78250296999997,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,0,2,3,1,3,0,1,0,32,32,32,,,,,,,163.78255220000003,None,f,1,0.6367050000000063,164.782235,None,164.782235,None,165.44054830000002,None,None,165.94655347,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,1,2,2,1,2,1,0,0,33,33,33,,,,,,,165.94659,None,f,1,1.06517180000003,166.9458996,None,166.9458996,None,168.02837630000002,None,None,168.53421187,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,0,1,3,1,3,0,1,0,34,34,34,,,,,,,168.53410140000003,None,f,1,0.8297771000000012,169.53375000000003,None,169.53375000000003,None,170.38085729999997,None,None,170.88622817,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,0,1,4,1,3,1,1,0,35,35,35,,,,,,,170.8862905,None,f,0,0.5734289000000103,171.8861123,None,171.8861123,None,172.4740983,None,None,172.97971147,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,2,2,5,1,3,0,1,0,36,36,36,,,,,,,172.9793653,None,f,1,1.567769100000021,173.97977289999997,None,173.97977289999997,None,175.5671985,None,None,176.07287317,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,1,1,6,1,3,1,1,0,37,37,37,,,,,,,176.07294169999997,None,f,1,0.8748856000000274,177.07262599999999,None,177.07262599999999,None,177.96648580000002,None,None,178.47214747,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
1,2,1,7,1,3,0,1,0,38,38,38,,,,,,,178.4723069,None,j,1,1.227620800000011,179.4718955,None,179.4718955,None,180.71864730000001,None,None,181.22426267,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
2,2,1,0,1,3,0,0,0,39,39,39,,,,,,,181.2243101,None,f,1,2.2828374000000053,182.22406049999998,None,182.22406049999998,None,184.52918810000003,None,None,185.03485907,None,,,,,,,,,,,,,,,,,,,,B_11_TS,11,28,M,2021_Jun_10_1004,dyndist,2020.2.10,85.02121704470561,
