tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,27.911768400000028,166.6755329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
2,0,1,1,1,1,1,1,0,0,0,0,,,,,166.6755329,None,194.747497,None,j,0,1.8052938000000154,195.6300344,None,195.6300344,None,197.4647471,None,None,197.95860568,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
1,3,1,2,1,3,0,1,0,1,1,1,,,,,,,197.95827839999998,None,f,0,2.4932311000000027,198.9579807,None,198.9579807,None,201.4630932,None,None,201.96876078000003,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
1,2,1,3,1,3,0,1,0,2,2,2,,,,,,,201.96919730000002,None,f,0,3.234715900000026,202.9685109,None,202.9685109,None,206.21496539999998,None,None,206.72027828,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
1,2,1,4,2,3,0,0,0,3,3,3,,,,,,,206.72031049999998,None,f,0,3.1072495999999887,207.7199963,None,207.7199963,None,210.8488466,None,None,211.35451988,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
2,3,1,5,2,3,0,0,0,4,4,4,,,,,,,211.35458,None,f,1,9.561401899999964,212.35419030000003,None,212.35419030000003,None,221.9395589,None,None,222.43308898000004,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
1,7,1,6,1,3,1,0,0,5,5,5,,,,,,,222.4335246,None,j,1,2.1465453999999795,223.4332536,None,223.4332536,None,225.59741150000002,None,None,226.10299568,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
2,1,2,5,1,2,0,1,0,6,6,6,,,,,,,226.1026291,None,f,1,1.548945500000002,227.1028073,None,227.1028073,None,228.6669078,None,None,229.17261158000002,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
2,3,2,6,1,3,0,0,0,7,7,7,,,,,,,229.1723568,None,f,1,1.2633579999999824,230.1723366,None,230.1723366,None,231.45430320000003,None,None,231.95997478000004,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
2,5,1,7,2,3,1,1,0,8,8,8,,,,,,,231.95967860000002,None,f,1,1.9800586000000067,232.95971989999998,None,232.95971989999998,None,234.9590501,None,None,235.46479288,None,,,,,,,,,,,,,,,,,,,,B_12_ST,12,19,F,2021_Jun_09_1618,dyndist,2020.2.10,85.02165076335379,
