tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,17.420825100000002,89.51659880000079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,7,1,3,1,1,0,1,0,0,0,0,,,,,89.51659880000079,None,107.0440494000004,None,j,1,1.423655200000212,107.96134200000051,None,107.96134200000051,None,109.4079782000008,None,None,109.9136898900003,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,5,2,4,1,3,1,0,0,1,1,1,,,,,,,109.91369920000034,None,f,1,0.9523690999994869,110.91300550000051,None,110.91300550000051,None,111.87804720000076,None,None,112.3835411900006,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,3,2,5,2,3,0,1,0,2,2,2,,,,,,,112.38353280000047,None,j,1,2.1138160000000425,113.38322770000013,None,113.38322770000013,None,115.51207969999996,None,None,116.0173536900008,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,3,2,6,1,3,1,0,0,3,3,3,,,,,,,116.01735850000023,None,j,1,1.1365595999996003,117.01705310000034,None,117.01705310000034,None,118.17001900000014,None,None,118.6753737900005,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,5,1,7,2,3,0,1,0,4,4,4,,,,,,,118.6757505000005,None,j,1,1.9340568999996322,119.67556510000031,None,119.67556510000031,None,121.62780810000004,None,None,122.13354229000079,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,7,1,0,1,3,1,1,0,5,5,5,,,,,,,122.1331583000001,None,f,1,1.0527884000002814,123.13278160000027,None,123.13278160000027,None,124.20356000000083,None,None,124.7092364900006,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,1,1,7,3,2,0,0,0,6,6,6,,,,,,,124.70924620000005,None,f,1,1.4842215000007855,125.7088588000006,None,125.7088588000006,None,127.21451740000066,None,None,127.7200930900005,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,2,1,0,1,3,1,0,0,7,7,7,,,,,,,127.72001960000034,None,j,1,1.3218667999999525,128.71972330000062,None,128.71972330000062,None,130.0605518000002,None,None,130.56627839000038,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,2,1,1,1,3,1,0,0,8,8,8,,,,,,,130.5659039000002,None,f,1,1.8036598999997295,131.56598310000027,None,131.56598310000027,None,133.3885766000003,None,None,133.8947078900007,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,4,1,2,1,3,0,1,0,9,9,9,,,,,,,133.8943143000006,None,f,1,0.7310873999995238,134.89401110000017,None,134.89401110000017,None,135.64710320000086,None,None,136.15283269000037,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,2,1,3,1,3,0,1,0,10,10,10,,,,,,,136.15283250000084,None,j,1,1.1931501999997636,137.15253740000026,None,137.15253740000026,None,138.36402960000032,None,None,138.86967259000056,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,7,1,4,1,3,0,1,0,11,11,11,,,,,,,138.8697398000004,None,f,1,0.8763920000001235,139.86935600000015,None,139.86935600000015,None,140.7632153000004,None,None,141.2689501900001,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,2,1,7,1,1,0,1,0,12,12,12,,,,,,,141.2685564000003,None,j,1,1.0530303000005006,142.2686347000008,None,142.2686347000008,None,143.33896679999998,None,None,143.84465209000035,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,4,1,0,1,3,0,1,0,13,13,13,,,,,,,143.8442569000008,None,j,1,1.0692679000003409,144.8444459000002,None,144.8444459000002,None,145.9263565000001,None,None,146.43209929000085,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,5,1,1,1,3,0,1,0,14,14,14,,,,,,,146.43209750000005,None,f,1,1.0100749000002907,147.43179090000012,None,147.43179090000012,None,148.45493720000013,None,None,148.96074279000067,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,4,1,7,1,1,1,0,0,15,15,15,,,,,,,148.96074410000074,None,f,1,1.4406041000002006,149.96050430000014,None,149.96050430000014,None,151.41882200000055,None,None,151.92460889000057,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,6,1,0,2,3,0,1,0,16,16,16,,,,,,,151.92419620000055,None,f,1,1.149326500000825,152.92431450000004,None,152.92431450000004,None,154.08853360000012,None,None,154.59434389000006,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,2,1,1,1,3,0,0,0,17,17,17,,,,,,,154.5942698000008,None,f,1,1.2318998000000647,155.59402500000033,None,155.59402500000033,None,156.84071780000068,None,None,157.3464457900006,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
1,6,2,0,1,2,0,1,0,18,18,18,,,,,,,157.34645040000032,None,j,1,0.7035249000000476,158.34626560000015,None,158.34626560000015,None,159.06364200000007,None,None,159.56931249000053,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
2,0,2,1,1,3,0,0,0,19,19,19,,,,,,,159.5693712000002,None,f,1,0.8967578000001595,160.56899670000075,None,160.56899670000075,None,161.4863763000003,None,None,161.99203989000006,None,,,,,,,,,,,,,,,,,,,,B_16_JP,16,23,F,2021_Jun_04_1111,dyndist,2020.2.10,85.03495361790912,
