tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,62.778176599999824,53.86391089999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,6,2,5,1,1,0,1,0,0,0,0,,,,,53.86391089999961,None,116.78548099999989,None,j,1,2.7025337000004583,117.66756420000002,None,117.66756420000002,None,120.39654569999948,None,None,120.89052203999927,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,3,1,4,1,3,0,0,0,1,1,1,,,,,,,120.89058579999983,None,f,1,1.1036938000006558,121.89032329999918,None,121.89032329999918,None,123.00745129999996,None,None,123.51325553999959,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,1,2,3,1,3,0,0,0,2,2,2,,,,,,,123.51324229999955,None,j,1,0.9449862000001303,124.51306899999963,None,124.51306899999963,None,125.47735329999978,None,None,125.98309623999921,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,4,1,2,2,3,1,0,0,3,3,3,,,,,,,125.98308209999959,None,f,1,0.7477046000003611,126.98239889999968,None,126.98239889999968,None,127.74726279999959,None,None,128.25260103999972,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,3,1,1,2,3,0,0,0,4,4,4,,,,,,,128.25300719999996,None,f,1,1.005431800000224,129.2526887999993,None,129.2526887999993,None,130.27590039999995,None,None,130.78162823999992,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,3,1,0,1,3,1,1,0,5,5,5,,,,,,,130.7816540999993,None,f,1,1.1165490000003047,131.7813957999997,None,131.7813957999997,None,132.91040049999992,None,None,133.41613333999976,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,1,1,7,2,3,0,1,0,6,6,6,,,,,,,133.4157564999996,None,f,0,0.7536651000000347,134.41582649999964,None,134.41582649999964,None,135.18037259999983,None,None,135.6860498399992,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,5,1,6,1,3,0,0,0,7,7,7,,,,,,,135.6862100999997,None,j,0,1.268210000000181,136.6858155,None,136.6858155,None,137.96770339999966,None,None,138.47344843999963,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,1,1,7,1,2,1,1,0,8,8,8,,,,,,,138.47305179999967,None,j,1,0.9930565000004208,139.47313119999944,None,139.47313119999944,None,140.48472459999994,None,None,140.9903330399993,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,3,2,6,1,3,0,1,0,9,9,9,,,,,,,140.99064739999994,None,f,1,0.9443681000002471,142.00178379999943,None,142.00178379999943,None,142.96581369999967,None,None,143.47162063999986,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,0,2,7,1,2,0,0,0,10,10,10,,,,,,,143.47199529999943,None,f,1,0.6391499000001204,144.48299439999937,None,144.48299439999937,None,145.14200719999917,None,None,145.64735473999917,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,5,1,6,1,3,0,1,0,11,11,11,,,,,,,145.64774039999975,None,f,1,0.9391157000000021,146.6470477999992,None,146.6470477999992,None,147.60009939999964,None,None,148.10581714,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,1,2,5,1,3,0,1,0,12,12,12,,,,,,,148.10543729999972,None,f,1,0.5603960000007646,149.10512819999985,None,149.10512819999985,None,149.68180200000006,None,None,150.18755573999988,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,0,1,4,1,3,0,1,0,13,13,13,,,,,,,150.18753879999986,None,j,1,0.6706647999999404,151.18686179999986,None,151.18686179999986,None,151.86900479999986,None,None,152.37511563999942,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,1,1,5,1,2,1,1,0,14,14,14,,,,,,,152.37512849999985,None,f,1,2.67566910000005,153.3744302999994,None,153.3744302999994,None,156.0681212999998,None,None,156.5734671399996,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,1,2,6,1,2,0,1,0,15,15,15,,,,,,,156.57387039999958,None,j,1,1.2920168999999078,157.57354919999943,None,157.57354919999943,None,158.8790315999995,None,None,159.3847606399995,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,4,1,5,1,3,0,0,0,16,16,16,,,,,,,159.3847793999994,None,f,1,1.2814742999998998,160.38407759999973,None,160.38407759999973,None,161.67787989999943,None,None,162.18392413999936,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,6,2,4,2,3,1,1,0,17,17,17,,,,,,,162.18393539999943,None,j,1,2.018907699999545,163.18323529999998,None,163.18323529999998,None,165.21841109999968,None,None,165.72364683999967,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
1,2,1,4,1,1,0,0,0,18,18,18,,,,,,,165.72401850000006,None,j,1,1.517700800000057,166.72386469999947,None,166.72386469999947,None,168.25267409999924,None,None,168.75802033999935,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,1,1,3,1,3,0,0,0,19,19,19,,,,,,,168.7585311999992,None,f,1,2.563850800000182,169.75772189999952,None,169.75772189999952,None,172.3337931999995,None,None,172.8391334399994,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,5,1,2,1,3,0,0,0,20,20,20,,,,,,,172.8391447999993,None,f,1,0.9468722999999954,173.83884639999997,None,173.83884639999997,None,174.80325279999943,None,None,175.30898723999962,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,3,2,1,2,3,1,0,0,21,21,21,,,,,,,175.30939259999923,None,f,1,1.8209006999995836,176.3086870999996,None,176.3086870999996,None,178.14379979999921,None,None,178.64915563999966,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
2,4,2,0,1,3,1,1,0,22,22,22,,,,,,,178.64916269999958,None,f,1,1.1854143000000477,179.64884709999933,None,179.64884709999933,None,180.84848689999944,None,None,181.3546143399999,None,,,,,,,,,,,,,,,,,,,,B_17_ZXF,17,23,F,2021_Jun_04_1014,dyndist,2020.2.10,85.06178888341269,
