tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,41.63849819999996,94.16972450000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,4,1,3,1,1,1,1,0,0,0,0,,,,,94.16972450000003,None,135.9647184999999,None,j,1,1.9049110999999357,136.84687009999993,None,136.84687009999993,None,138.77601809999987,None,None,139.28131099999987,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,1,2,4,1,3,1,0,0,1,1,1,,,,,,,139.2813532,None,j,1,1.8312146000000666,140.2810497999999,None,140.2810497999999,None,142.12792590000004,None,None,142.63361869999986,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,1,2,5,1,3,0,0,0,2,2,2,,,,,,,142.63367089999997,None,j,1,1.6633567000001221,143.63296189999983,None,143.63296189999983,None,145.3151871,None,None,145.82086989999985,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
2,6,1,2,3,1,1,0,0,3,3,3,,,,,,,145.8209291999999,None,f,1,0.9074348999999984,146.8202354,None,146.8202354,None,147.73799109999982,None,None,148.24368159999986,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,5,1,1,1,2,0,0,0,4,4,4,,,,,,,148.24333479999996,None,j,1,1.0127239999999347,149.24303409999993,None,149.24303409999993,None,150.26670119999994,None,None,150.77233089999996,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,6,1,1,1,1,0,0,0,5,5,5,,,,,,,150.77229620000003,None,j,1,1.6519619000000603,151.77206119999983,None,151.77206119999983,None,153.44214569999986,None,None,153.94784309999991,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,1,2,2,1,3,1,0,0,6,6,6,,,,,,,153.94788470000003,None,j,1,0.860537499999964,154.94717459999993,None,154.94717459999993,None,155.81789419999996,None,None,156.3235819999999,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
1,5,2,3,1,3,0,1,0,7,7,7,,,,,,,156.32323889999998,None,j,1,0.6928166999998666,157.3233126,None,157.3233126,None,158.02900039999986,None,None,158.53468009999997,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
2,5,2,4,1,3,0,0,0,8,8,8,,,,,,,158.53484230000004,None,f,1,0.6577871000001778,159.5344058999999,None,159.5344058999999,None,160.2047981999999,None,None,160.71048149999993,None,,,,,,,,,,,,,,,,,,,,B_19_ZJP,19,26,M,2021_Jun_02_1905,dyndist,2020.2.10,85.01427814794653,
