tar_ori,tar_pos,dist_tilt,dist_pos,tar_pos_type,dist_pos_type,dist_letter,dist_ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_key.keys,instructions_key.rt,instructions_key.started,instructions_key.stopped,instructions_text.started,instructions_text.stopped,fixcross.started,fixcross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fixcross_search.started,fixcross_search.stopped,feedback_text.started,feedback_text.stopped,break_key.keys,break_key.started,break_key.stopped,break_key.rt,text.started,text.stopped,key_pq1.keys,key_pq1.rt,key_pq1.started,key_pq1.stopped,text_2.started,text_2.stopped,key_pq2.keys,key_pq2.rt,key_pq2.started,key_pq2.stopped,finish_text.started,finish_text.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,group,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,142.30282479999994,134.28813630000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,1,2,0,1,1,1,0,0,0,0,0,,,,,134.28813630000002,None,276.7499477,None,f,1,2.830626000000052,277.6324181,None,277.6324181,None,280.4900408,None,None,280.98428916000006,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,5,1,1,1,3,0,0,0,1,1,1,,,,,,,280.98440990000006,None,f,1,1.6467771000000084,281.98365090000004,None,281.98365090000004,None,283.64235700000006,None,None,284.1480359600001,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,3,1,2,1,3,1,0,0,2,2,2,,,,,,,284.1482042,None,f,1,0.8675847000000658,285.14740330000006,None,285.14740330000006,None,286.02987310000003,None,None,286.53554386,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
1,7,1,3,1,3,0,0,0,3,3,3,,,,,,,286.5352669,None,j,1,0.6558613999999352,287.5349093,None,287.5349093,None,288.20569450000005,None,None,288.71135626000006,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
1,7,1,1,1,1,1,0,0,4,4,4,,,,,,,288.71142510000004,None,j,1,0.5115888000000268,289.71078850000004,None,289.71078850000004,None,290.2400103,None,None,290.74563686000005,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,4,2,2,1,3,0,1,0,5,5,5,,,,,,,290.7460969,None,f,1,1.1005982000000358,291.74578629999996,None,291.74578629999996,None,292.86270709999997,None,None,293.36875976000005,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,6,2,3,1,3,0,0,0,6,6,6,,,,,,,293.3688436,None,f,1,0.8142481999999518,294.3681354,None,294.3681354,None,295.20356200000003,None,None,295.7092229600001,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,0,1,4,1,3,1,1,0,7,7,7,,,,,,,295.7092901,None,f,1,1.5294033000000127,296.7089933,None,296.7089933,None,298.2497138,None,None,298.75536416000006,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
2,1,1,3,1,2,1,0,0,8,8,8,,,,,,,298.75543300000004,None,f,1,0.883255800000029,299.7551304,None,299.7551304,None,300.64896910000004,None,None,301.1546363600001,None,,,,,,,,,,,,,,,,,,,,B_23_SY,23,32,M,2021_May_27_1728,dyndist,2020.2.10,84.9886285214591,
