instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,40.228,f,1,2.181,,0,0,0,0,1,1,5,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.479,,0,1,1,1,1,1,6,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.149,,0,2,2,2,1,1,5,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.15,,0,3,3,3,1,0,0,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.984,,0,4,4,4,1,0,0,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.419,,0,5,5,5,1,1,7,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.921,,0,6,6,6,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.631,,0,7,7,7,1,1,7,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.2,,0,8,8,8,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.587,,0,9,9,9,1,0,7,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.533,,0,10,10,10,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.132,,0,11,11,11,1,1,5,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.235,,0,12,12,12,1,1,4,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.547,,0,13,13,13,1,1,3,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.354,,0,14,14,14,1,0,6,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.2,,0,15,15,15,1,0,5,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.983,,0,16,16,16,1,1,4,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.385,,0,17,17,17,1,1,3,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.301,,0,18,18,18,1,1,2,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.944,,0,19,19,19,1,0,1,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.484,,0,20,20,20,1,0,0,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.618,,0,21,21,21,1,0,2,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.669,,0,22,22,22,1,1,1,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.371,,0,23,23,23,1,0,0,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.852,,0,24,24,24,1,0,7,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.685,,0,25,25,25,1,1,3,0,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.248,,0,26,26,26,1,0,2,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.403,,0,27,27,27,1,0,1,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.715,,0,28,28,28,1,0,0,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.135,,0,29,29,29,1,1,7,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.899,,0,30,30,30,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.733,,0,31,31,31,1,1,7,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.85,,0,32,32,32,1,0,0,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.646,,0,33,33,33,1,1,1,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.181,,0,34,34,34,1,1,0,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.735,,0,35,35,35,1,0,7,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.817,,0,36,36,36,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.631,,0,37,37,37,1,0,7,1,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.648,,0,38,38,38,1,1,6,2,A_01_LCC,1,18,2021-01-02_20h06.19.770,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
