instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,17.820505,f,1,1.10202,,0,0,0,0,1,1,6,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.6747,,0,1,1,1,1,1,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.778965,,0,2,2,2,1,1,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,2.54228,,0,3,3,3,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.243175,,0,4,4,4,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.5484,,0,5,5,5,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.95869,,0,6,6,6,1,1,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.458245,,0,7,7,7,1,0,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.641565,,0,8,8,8,1,1,5,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.67393,,0,9,9,9,1,1,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.59567,,0,10,10,10,1,1,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.742045,,0,11,11,11,1,1,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.25849,,0,12,12,12,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.2663,,0,13,13,13,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.559695,,0,14,14,14,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.327815,,0,15,15,15,1,0,2,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.332635,,0,16,16,16,1,1,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.065565,,0,17,17,17,1,0,2,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.67551,,0,18,18,18,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.81307,,0,19,19,19,1,0,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.92738,,0,20,20,20,1,0,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.664125,,0,21,21,21,1,0,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.77672,,0,22,22,22,1,0,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.715085,,0,23,23,23,1,0,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.675605,,0,24,24,24,1,1,0,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.915515,,0,25,25,25,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.22636,,0,26,26,26,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.96438,,0,27,27,27,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.311595,,0,28,28,28,1,1,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.7083,,0,29,29,29,1,1,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.69872,,0,30,30,30,1,1,4,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.79338,,0,31,31,31,1,0,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.64183,,0,32,32,32,1,1,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.5766,,0,33,33,33,1,0,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.960675,,0,34,34,34,1,0,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.656605,,0,35,35,35,1,1,7,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.17475,,0,36,36,36,1,1,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.84676,,0,37,37,37,1,0,7,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.875605,,0,38,38,38,1,1,6,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.84228,,0,39,39,39,1,1,5,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.72532,,0,40,40,40,1,0,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.544635,,0,41,41,41,1,0,2,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.71309,,0,42,42,42,1,1,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.943125,,0,43,43,43,1,0,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.64312,,0,44,44,44,1,1,2,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.36128,,0,45,45,45,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.625955,,0,46,46,46,1,0,7,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.827985,,0,47,47,47,1,1,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.128025,,0,48,48,48,1,1,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.09308,,0,49,49,49,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.626155,,0,50,50,50,1,0,7,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.66035,,0,51,51,51,1,0,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.99119,,0,52,52,52,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.24915,,0,53,53,53,1,0,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.14249,,0,54,54,54,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.79288,,0,55,55,55,1,1,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.84706,,0,56,56,56,1,0,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.1419,,0,57,57,57,1,1,4,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.6127,,0,58,58,58,1,1,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.600635,,0,59,59,59,1,1,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.70191,,0,60,60,60,1,1,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.691,,0,61,61,61,1,0,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.729385,,0,62,62,62,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.28168,,0,63,63,63,1,0,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.241755,,0,64,64,64,1,0,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.859755,,0,65,65,65,1,1,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.708555,,0,66,66,66,1,1,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.610785,,0,67,67,67,1,0,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.74584,,0,68,68,68,1,1,7,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.793095,,0,69,69,69,1,1,0,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.09717,,0,70,70,70,1,0,1,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.216445,,0,71,71,71,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.882295,,0,72,72,72,1,0,4,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.147305,,0,73,73,73,1,1,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.6591,,0,74,74,74,1,0,6,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.6096,,0,75,75,75,1,0,5,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.39312,,0,76,76,76,1,0,1,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.461705,,0,77,77,77,1,0,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.94831,,0,78,78,78,1,1,1,1,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.058205,,0,79,79,79,1,1,2,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.647315,,0,80,80,80,1,1,3,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.664035,,0,81,81,81,1,0,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.722295,,0,82,82,82,1,0,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.70868,space,0,83,83,83,1,0,3,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,2.66481,,,,,,
,,j,1,0.57758,,0,84,84,84,1,0,4,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.860365,,0,85,85,85,1,1,5,2,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.59511,,0,86,86,86,1,1,5,0,A_04_CS,4,25,2021-01-17_17h17.58.178,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
