instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,27.08311,j,1,1.493755,,0,0,0,0,1,0,0,0,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.552345,,0,1,1,1,1,1,7,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.56129,,0,2,2,2,1,1,6,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.083435,,0,3,3,3,1,1,5,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.468795,,0,4,4,4,1,0,4,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.919345,,0,5,5,5,1,0,3,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.999785,,0,6,6,6,1,1,2,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.31862,,0,7,7,7,1,0,1,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.61498,,0,8,8,8,1,1,4,0,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.003985,,0,9,9,9,1,1,3,2,A_06_MUA ,6,19,2021-02-07_08h59.41.367,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
