instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,47.932,f,1,1.178,,0,0,0,0,1,1,4,0,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,0.943,,0,1,1,1,1,0,3,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.615,,0,2,2,2,1,0,2,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.255,,0,3,3,3,1,0,1,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,0,0.887,,0,4,4,4,1,1,0,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,0,1.108,,0,5,5,5,1,1,7,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,3.022,,0,6,6,6,1,1,6,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,1.251,,0,7,7,7,1,0,5,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,5.787,,0,8,8,8,1,1,6,1,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,2.372,,0,9,9,9,1,0,5,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,1.607,,0,10,10,10,1,0,4,2,A_14_AB,14,"17,6",2021-02-04_21h07.40.924,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
