instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,16.558215,j,1,0.90446,,0,0,0,0,1,0,7,0,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.75337,,0,1,1,1,1,0,0,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.856185,,0,2,2,2,1,1,1,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.9325,,0,3,3,3,1,1,2,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.83277,,0,4,4,4,1,1,1,1,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,0,0.841635,,0,5,5,5,1,0,2,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,0,0.77646,,0,6,6,6,1,0,3,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.78484,,0,7,7,7,1,1,4,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.656265,,0,8,8,8,1,1,6,0,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.512095,,0,9,9,9,1,1,7,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.582585,,0,10,10,10,1,0,0,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.07217,,0,11,11,11,1,0,1,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,0,0.759465,,0,12,12,12,1,0,2,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.91181,,0,13,13,13,1,0,3,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.083255,,0,14,14,14,1,1,4,2,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.140935,,0,15,15,15,1,0,6,0,A_15_MVAT ,15,17,2021-02-02_16h25.04.598,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
