instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,13.48479,f,1,1.743775,,0,0,0,0,1,1,3,0,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.639835,,0,1,1,1,1,0,4,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.8958,,0,2,2,2,1,1,5,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.319535,,0,3,3,3,1,1,1,0,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.3887,,0,4,4,4,1,1,2,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.303645,,0,5,5,5,1,0,3,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.22285,,0,6,6,6,1,1,4,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.859975,,0,7,7,7,1,0,5,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.76106,,0,8,8,8,1,1,6,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.78776,,0,9,9,9,1,0,7,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.06484,,0,10,10,10,1,1,0,2,A_16_JF,16,30,2021-02-04_13h33.28.757,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
