instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,9.868,f,0,2.169,,0,0,0,0,1,0,1,0,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,0,2.25,,0,1,1,1,1,0,0,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,27.488,,0,2,2,2,1,0,7,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,2.235,,0,3,3,3,1,1,6,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.281,,0,4,4,4,1,0,5,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.833,,0,5,5,5,1,0,6,1,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.953,,0,6,6,6,1,0,7,1,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.053,,0,7,7,7,1,1,6,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.971,,0,8,8,8,1,1,5,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.272,,0,9,9,9,1,1,4,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.59,,0,10,10,10,1,1,1,0,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,0.876,,0,11,11,11,1,1,0,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.971,,0,12,12,12,1,0,4,0,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,2.069,,0,13,13,13,1,1,3,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.854,,0,14,14,14,1,1,2,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.469,,0,15,15,15,1,0,5,0,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.476,,0,16,16,16,1,0,4,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.419,,0,17,17,17,1,0,3,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.17,,0,18,18,18,1,1,2,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,0.787,,0,19,19,19,1,0,1,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,3.085,,0,20,20,20,1,1,0,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,f,1,1.069,,0,21,21,21,1,1,7,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.058,,0,22,22,22,1,0,0,1,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
,,j,1,1.172,,0,23,23,23,1,0,7,2,A_18_FE,18,19,2021-03-05_17h19.50.264,dyntargetnodist,2020.1.2,MacIntel,60,,,,,,,
