instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,19.05996,j,1,0.7063,,0,0,0,0,1,0,0,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.230105,,0,1,1,1,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.07095,,0,2,2,2,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.280945,,0,3,3,3,1,0,4,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.007605,,0,4,4,4,1,0,3,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.104555,,0,5,5,5,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.24091,,0,6,6,6,1,1,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.746515,,0,7,7,7,1,1,4,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.564275,,0,8,8,8,1,0,3,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.78148,,0,9,9,9,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.766445,,0,10,10,10,1,1,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.972675,,0,11,11,11,1,1,0,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.91488,,0,12,12,12,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.092255,,0,13,13,13,1,0,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.7545,,0,14,14,14,1,1,7,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.91254,,0,15,15,15,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.612675,,0,16,16,16,1,1,7,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.58773,,0,17,17,17,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.855315,,0,18,18,18,1,0,7,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.113475,,0,19,19,19,1,0,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.03105,,0,20,20,20,1,0,3,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.29937,,0,21,21,21,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.876035,,0,22,22,22,1,1,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,0,0.661635,,0,23,23,23,1,1,0,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.754805,,0,24,24,24,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.897625,,0,25,25,25,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.95788,,0,26,26,26,1,1,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.80143,,0,27,27,27,1,1,4,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.708435,,0,28,28,28,1,1,3,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.68879,,0,29,29,29,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.22506,,0,30,30,30,1,1,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.85383,,0,31,31,31,1,1,0,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.93425,,0,32,32,32,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.982135,,0,33,33,33,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.885575,,0,34,34,34,1,0,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.949355,,0,35,35,35,1,0,6,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.763225,,0,36,36,36,1,1,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.608435,,0,37,37,37,1,1,6,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,0,0.76235,,0,38,38,38,1,0,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.711005,,0,39,39,39,1,1,0,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.546925,,0,40,40,40,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.76428,,0,41,41,41,1,0,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.69653,,0,42,42,42,1,1,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.120685,,0,43,43,43,1,0,0,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.693795,,0,44,44,44,1,1,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.00931,,0,45,45,45,1,1,6,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.65404,,0,46,46,46,1,1,5,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.81561,,0,47,47,47,1,0,4,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.958235,,0,48,48,48,1,0,3,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.29087,,0,49,49,49,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.40195,,0,50,50,50,1,0,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.6159,,0,51,51,51,1,0,0,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.631705,,0,52,52,52,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.106065,,0,53,53,53,1,0,0,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.708905,,0,54,54,54,1,1,1,1, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.6569,,0,55,55,55,1,0,0,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.731135,,0,56,56,56,1,0,7,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.657995,,0,57,57,57,1,0,5,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.6729,,0,58,58,58,1,1,3,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.9856,,0,59,59,59,1,0,2,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.680575,,0,60,60,60,1,1,1,2, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.071955,,0,61,61,61,1,0,5,0, A_21_LEO,21,18,2021-03-06_07h47.06.159,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
