instructions_key.keys,instructions_key.rt,key_resp.keys,key_resp.corr,key_resp.rt,break_key.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tar_ori,tar_pos,tar_pos_type,participant,group,screen height (cm),date,expName,psychopyVersion,OS,frameRate,break_key.rt,key_pq1.keys,key_pq1.rt,key_pq2.keys,key_pq2.rt,finish_key.keys,finish_key.rt
space,13.735355,f,1,4.521275,,0,0,0,0,1,1,1,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.628135,,0,1,1,1,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.691715,,0,2,2,2,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.986005,,0,3,3,3,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.095175,,0,4,4,4,1,1,3,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.84745,,0,5,5,5,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.44028,,0,6,6,6,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.667045,,0,7,7,7,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.04862,,0,8,8,8,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.80717,,0,9,9,9,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.864915,,0,10,10,10,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.68536,,0,11,11,11,1,1,0,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.85492,,0,12,12,12,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.011255,,0,13,13,13,1,1,0,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.322455,,0,14,14,14,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.63043,,0,15,15,15,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.38818,,0,16,16,16,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.26065,,0,17,17,17,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.73589,,0,18,18,18,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.61073,,0,19,19,19,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.019345,,0,20,20,20,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.104345,,0,21,21,21,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.029695,,0,22,22,22,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.76347,,0,23,23,23,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.50461,,0,24,24,24,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.75473,,0,25,25,25,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.07201,,0,26,26,26,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.38362,,0,27,27,27,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.68478,,0,28,28,28,1,1,4,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.81081,,0,29,29,29,1,1,3,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.633885,,0,30,30,30,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.875105,,0,31,31,31,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.15278,,0,32,32,32,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.049095,,0,33,33,33,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.12037,,0,34,34,34,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.4404,,0,35,35,35,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.05228,,0,36,36,36,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.145425,,0,37,37,37,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.59476,,0,38,38,38,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.141335,,0,39,39,39,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.102495,,0,40,40,40,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.67206,,0,41,41,41,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.804785,,0,42,42,42,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.29634,,0,43,43,43,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.805635,,0,44,44,44,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.220445,,0,45,45,45,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.32384,,0,46,46,46,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,3.347935,,0,47,47,47,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.871655,,0,48,48,48,1,1,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,0,0.67353,,0,49,49,49,1,1,5,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.06642,,0,50,50,50,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.714605,,0,51,51,51,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.35635,,0,52,52,52,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.14551,,0,53,53,53,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.731925,,0,54,54,54,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.39781,,0,55,55,55,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.64011,,0,56,56,56,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.986825,,0,57,57,57,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.91499,,0,58,58,58,1,1,2,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.22146,,0,59,59,59,1,1,1,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.15996,,0,60,60,60,1,0,0,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.93811,,0,61,61,61,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.3309,,0,62,62,62,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.117425,,0,63,63,63,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.731365,,0,64,64,64,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.58556,,0,65,65,65,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.67056,,0,66,66,66,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.232155,,0,67,67,67,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.012535,,0,68,68,68,1,0,6,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.03185,,0,69,69,69,1,1,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,0,1.072525,,0,70,70,70,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.23309,,0,71,71,71,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.64943,,0,72,72,72,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.00665,,0,73,73,73,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.35103,,0,74,74,74,1,1,1,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.743945,,0,75,75,75,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.579885,,0,76,76,76,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.796935,,0,77,77,77,1,1,2,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.639005,,0,78,78,78,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.989925,,0,79,79,79,1,1,2,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.85474,,0,80,80,80,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.703145,,0,81,81,81,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,2.149175,,0,82,82,82,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.024445,j,0,83,83,83,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,3.480075,,,,,,
,,j,1,0.98185,,0,84,84,84,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.816845,,0,85,85,85,1,0,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.41195,,0,86,86,86,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.47309,,0,87,87,87,1,1,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.16415,,0,88,88,88,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.747355,,0,89,89,89,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.833805,,0,90,90,90,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.8743,,0,91,91,91,1,0,4,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.90459,,0,92,92,92,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.981725,,0,93,93,93,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.962955,,0,94,94,94,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.080375,,0,95,95,95,1,1,6,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.82314,,0,96,96,96,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,2.269465,,0,97,97,97,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.98495,,0,98,98,98,1,1,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.06706,,0,99,99,99,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.980875,,0,100,100,100,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.949935,,0,101,101,101,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.86067,,0,102,102,102,1,0,7,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.06647,,0,103,103,103,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.13971,,0,104,104,104,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.16393,,0,105,105,105,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.20187,,0,106,106,106,1,1,2,0,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.748435,,0,107,107,107,1,0,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.83458,,0,108,108,108,1,0,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,0,1.17988,,0,109,109,109,1,1,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.52544,,0,110,110,110,1,0,6,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.96504,,0,111,111,111,1,0,7,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.971955,,0,112,112,112,1,1,0,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.37217,,0,113,113,113,1,0,1,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.85073,,0,114,114,114,1,0,2,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,1.19844,,0,115,115,115,1,1,3,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,f,1,0.683445,,0,116,116,116,1,1,4,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,1.27809,,0,117,117,117,1,0,5,2,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
,,j,1,0.672105,,0,118,118,118,1,0,4,1,A_24_HHJ,24,19,2021-03-08_10h47.02.933,dyntargetnodist,2020.1.2,Win32,60,,,,,,,
